hashed_uid,date,pam_score_mean,pam_n_responses
02b34100f41b4332,2013-03-27 00:00:00-04:00,9.4,5
02b34100f41b4332,2013-03-28 00:00:00-04:00,10.25,4
02b34100f41b4332,2013-03-29 00:00:00-04:00,6.0,3
02b34100f41b4332,2013-03-30 00:00:00-04:00,9.2,5
02b34100f41b4332,2013-03-31 00:00:00-04:00,7.0,2
02b34100f41b4332,2013-04-01 00:00:00-04:00,10.0,2
02b34100f41b4332,2013-04-03 00:00:00-04:00,9.714285714285714,7
02b34100f41b4332,2013-04-09 00:00:00-04:00,10.041666666666666,24
02b34100f41b4332,2013-04-10 00:00:00-04:00,7.5,2
02b34100f41b4332,2013-04-11 00:00:00-04:00,9.8,5
02b34100f41b4332,2013-04-12 00:00:00-04:00,10.0,3
02b34100f41b4332,2013-04-13 00:00:00-04:00,9.666666666666666,3
02b34100f41b4332,2013-04-14 00:00:00-04:00,8.0,3
02b34100f41b4332,2013-04-15 00:00:00-04:00,12.75,4
02b34100f41b4332,2013-04-16 00:00:00-04:00,12.0,6
02b34100f41b4332,2013-04-17 00:00:00-04:00,10.5,2
02b34100f41b4332,2013-04-18 00:00:00-04:00,10.333333333333334,9
02b34100f41b4332,2013-04-19 00:00:00-04:00,12.25,4
02b34100f41b4332,2013-04-20 00:00:00-04:00,9.5,2
02b34100f41b4332,2013-04-21 00:00:00-04:00,8.0,4
02b34100f41b4332,2013-04-22 00:00:00-04:00,14.6,5
02b34100f41b4332,2013-04-23 00:00:00-04:00,7.8,5
02b34100f41b4332,2013-04-24 00:00:00-04:00,9.5,4
02b34100f41b4332,2013-04-25 00:00:00-04:00,14.25,4
02b34100f41b4332,2013-04-26 00:00:00-04:00,14.285714285714286,7
02b34100f41b4332,2013-04-27 00:00:00-04:00,14.333333333333334,3
02b34100f41b4332,2013-04-28 00:00:00-04:00,8.5,2
02b34100f41b4332,2013-04-29 00:00:00-04:00,9.2,5
02b34100f41b4332,2013-04-30 00:00:00-04:00,12.2,5
02b34100f41b4332,2013-05-01 00:00:00-04:00,10.333333333333334,3
02b34100f41b4332,2013-05-02 00:00:00-04:00,14.0,3
02b34100f41b4332,2013-05-03 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-04 00:00:00-04:00,13.0,3
02b34100f41b4332,2013-05-05 00:00:00-04:00,15.0,3
02b34100f41b4332,2013-05-06 00:00:00-04:00,15.0,1
02b34100f41b4332,2013-05-07 00:00:00-04:00,14.5,6
02b34100f41b4332,2013-05-08 00:00:00-04:00,14.333333333333334,3
02b34100f41b4332,2013-05-09 00:00:00-04:00,15.0,1
02b34100f41b4332,2013-05-11 00:00:00-04:00,8.0,3
02b34100f41b4332,2013-05-12 00:00:00-04:00,10.75,4
02b34100f41b4332,2013-05-13 00:00:00-04:00,14.75,4
02b34100f41b4332,2013-05-14 00:00:00-04:00,12.8,5
02b34100f41b4332,2013-05-15 00:00:00-04:00,14.333333333333334,3
02b34100f41b4332,2013-05-16 00:00:00-04:00,15.0,1
02b34100f41b4332,2013-05-17 00:00:00-04:00,15.0,2
02b34100f41b4332,2013-05-18 00:00:00-04:00,15.0,2
02b34100f41b4332,2013-05-19 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-20 00:00:00-04:00,14.6,5
02b34100f41b4332,2013-05-21 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-22 00:00:00-04:00,14.5,2
02b34100f41b4332,2013-05-23 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-24 00:00:00-04:00,7.25,4
02b34100f41b4332,2013-05-25 00:00:00-04:00,15.0,1
02b34100f41b4332,2013-05-26 00:00:00-04:00,14.0,2
02b34100f41b4332,2013-05-27 00:00:00-04:00,15.0,1
02b34100f41b4332,2013-05-28 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-29 00:00:00-04:00,14.0,1
02b34100f41b4332,2013-05-31 00:00:00-04:00,10.0,2
02b34100f41b4332,2013-06-01 00:00:00-04:00,14.0,1
047dd3752ee95148,2013-03-27 00:00:00-04:00,8.0,5
047dd3752ee95148,2013-03-28 00:00:00-04:00,10.142857142857142,7
047dd3752ee95148,2013-03-29 00:00:00-04:00,10.0,5
047dd3752ee95148,2013-03-30 00:00:00-04:00,4.5,2
047dd3752ee95148,2013-03-31 00:00:00-04:00,5.75,4
047dd3752ee95148,2013-04-01 00:00:00-04:00,5.8,5
047dd3752ee95148,2013-04-02 00:00:00-04:00,5.666666666666667,3
047dd3752ee95148,2013-04-03 00:00:00-04:00,6.666666666666667,3
047dd3752ee95148,2013-04-04 00:00:00-04:00,9.5,4
047dd3752ee95148,2013-04-05 00:00:00-04:00,13.0,2
047dd3752ee95148,2013-04-06 00:00:00-04:00,14.0,1
047dd3752ee95148,2013-04-07 00:00:00-04:00,7.0,2
047dd3752ee95148,2013-04-08 00:00:00-04:00,8.0,4
047dd3752ee95148,2013-04-09 00:00:00-04:00,14.0,1
047dd3752ee95148,2013-04-10 00:00:00-04:00,10.0,4
047dd3752ee95148,2013-04-11 00:00:00-04:00,9.0,1
047dd3752ee95148,2013-04-12 00:00:00-04:00,9.75,4
047dd3752ee95148,2013-04-13 00:00:00-04:00,15.0,1
047dd3752ee95148,2013-04-14 00:00:00-04:00,12.5,2
047dd3752ee95148,2013-04-15 00:00:00-04:00,10.0,3
047dd3752ee95148,2013-04-16 00:00:00-04:00,3.3333333333333335,3
047dd3752ee95148,2013-04-17 00:00:00-04:00,10.8,5
047dd3752ee95148,2013-04-18 00:00:00-04:00,11.333333333333334,3
047dd3752ee95148,2013-04-19 00:00:00-04:00,14.0,1
047dd3752ee95148,2013-04-20 00:00:00-04:00,7.5,2
04e98184146d8c31,2013-03-27 00:00:00-04:00,16.0,1
04e98184146d8c31,2013-03-28 00:00:00-04:00,11.6,5
04e98184146d8c31,2013-03-29 00:00:00-04:00,8.6,5
04e98184146d8c31,2013-03-30 00:00:00-04:00,7.333333333333333,3
04e98184146d8c31,2013-03-31 00:00:00-04:00,9.5,4
04e98184146d8c31,2013-04-01 00:00:00-04:00,10.25,4
04e98184146d8c31,2013-04-02 00:00:00-04:00,8.6,5
04e98184146d8c31,2013-04-03 00:00:00-04:00,8.0,7
04e98184146d8c31,2013-04-04 00:00:00-04:00,10.4,5
04e98184146d8c31,2013-04-05 00:00:00-04:00,8.4,5
04e98184146d8c31,2013-04-06 00:00:00-04:00,11.75,4
04e98184146d8c31,2013-04-07 00:00:00-04:00,13.4,5
04e98184146d8c31,2013-04-08 00:00:00-04:00,7.666666666666667,3
04e98184146d8c31,2013-04-10 00:00:00-04:00,11.8,5
04e98184146d8c31,2013-04-11 00:00:00-04:00,8.5,4
04e98184146d8c31,2013-04-12 00:00:00-04:00,9.0,3
04e98184146d8c31,2013-04-13 00:00:00-04:00,12.0,1
04e98184146d8c31,2013-04-14 00:00:00-04:00,4.0,2
04e98184146d8c31,2013-04-15 00:00:00-04:00,5.666666666666667,3
04e98184146d8c31,2013-04-16 00:00:00-04:00,7.5,6
04e98184146d8c31,2013-04-17 00:00:00-04:00,7.666666666666667,6
04e98184146d8c31,2013-04-18 00:00:00-04:00,11.571428571428571,7
04e98184146d8c31,2013-04-19 00:00:00-04:00,5.333333333333333,6
04e98184146d8c31,2013-04-20 00:00:00-04:00,11.333333333333334,3
04e98184146d8c31,2013-04-21 00:00:00-04:00,8.0,2
04e98184146d8c31,2013-04-22 00:00:00-04:00,4.333333333333333,3
04e98184146d8c31,2013-04-23 00:00:00-04:00,10.5,2
04e98184146d8c31,2013-04-24 00:00:00-04:00,8.0,2
04e98184146d8c31,2013-04-25 00:00:00-04:00,10.333333333333334,6
04e98184146d8c31,2013-04-26 00:00:00-04:00,10.6,5
04e98184146d8c31,2013-04-27 00:00:00-04:00,7.0,2
04e98184146d8c31,2013-04-28 00:00:00-04:00,10.0,5
04e98184146d8c31,2013-04-29 00:00:00-04:00,7.333333333333333,3
04e98184146d8c31,2013-05-01 00:00:00-04:00,8.6,5
04e98184146d8c31,2013-05-02 00:00:00-04:00,10.2,5
04e98184146d8c31,2013-05-03 00:00:00-04:00,10.0,4
04e98184146d8c31,2013-05-04 00:00:00-04:00,11.5,2
04e98184146d8c31,2013-05-05 00:00:00-04:00,13.0,2
04e98184146d8c31,2013-05-06 00:00:00-04:00,6.0,1
04e98184146d8c31,2013-05-07 00:00:00-04:00,14.333333333333334,3
04e98184146d8c31,2013-05-08 00:00:00-04:00,15.0,1
04e98184146d8c31,2013-05-09 00:00:00-04:00,9.5,2
04e98184146d8c31,2013-05-10 00:00:00-04:00,11.0,2
04e98184146d8c31,2013-05-11 00:00:00-04:00,12.0,1
04e98184146d8c31,2013-05-12 00:00:00-04:00,6.0,1
04e98184146d8c31,2013-05-13 00:00:00-04:00,15.0,1
04e98184146d8c31,2013-05-14 00:00:00-04:00,3.0,1
04e98184146d8c31,2013-05-15 00:00:00-04:00,9.333333333333334,3
04e98184146d8c31,2013-05-16 00:00:00-04:00,11.0,1
04e98184146d8c31,2013-05-17 00:00:00-04:00,9.0,1
04e98184146d8c31,2013-05-18 00:00:00-04:00,11.0,2
04e98184146d8c31,2013-05-20 00:00:00-04:00,6.0,1
04e98184146d8c31,2013-05-21 00:00:00-04:00,5.0,1
04e98184146d8c31,2013-05-22 00:00:00-04:00,8.0,1
04e98184146d8c31,2013-05-26 00:00:00-04:00,1.0,1
04e98184146d8c31,2013-05-27 00:00:00-04:00,12.0,1
04e98184146d8c31,2013-05-31 00:00:00-04:00,13.0,2
04e98184146d8c31,2013-06-02 00:00:00-04:00,14.0,1
101ed757f3ca860a,2013-03-27 00:00:00-04:00,6.0,1
101ed757f3ca860a,2013-03-28 00:00:00-04:00,9.4,5
101ed757f3ca860a,2013-03-29 00:00:00-04:00,9.333333333333334,3
101ed757f3ca860a,2013-03-30 00:00:00-04:00,9.8,5
101ed757f3ca860a,2013-03-31 00:00:00-04:00,9.0,3
101ed757f3ca860a,2013-04-01 00:00:00-04:00,6.25,4
101ed757f3ca860a,2013-04-02 00:00:00-04:00,8.75,4
101ed757f3ca860a,2013-04-03 00:00:00-04:00,9.833333333333334,6
101ed757f3ca860a,2013-04-04 00:00:00-04:00,11.0,5
101ed757f3ca860a,2013-04-05 00:00:00-04:00,5.75,4
101ed757f3ca860a,2013-04-06 00:00:00-04:00,6.5,4
101ed757f3ca860a,2013-04-07 00:00:00-04:00,8.0,4
101ed757f3ca860a,2013-04-08 00:00:00-04:00,9.75,4
101ed757f3ca860a,2013-04-09 00:00:00-04:00,10.5,4
101ed757f3ca860a,2013-04-10 00:00:00-04:00,5.8,5
101ed757f3ca860a,2013-04-11 00:00:00-04:00,10.2,5
101ed757f3ca860a,2013-04-12 00:00:00-04:00,9.75,4
101ed757f3ca860a,2013-04-13 00:00:00-04:00,4.25,4
101ed757f3ca860a,2013-04-14 00:00:00-04:00,7.666666666666667,3
101ed757f3ca860a,2013-04-15 00:00:00-04:00,9.0,4
101ed757f3ca860a,2013-04-16 00:00:00-04:00,8.4,5
101ed757f3ca860a,2013-04-17 00:00:00-04:00,7.75,4
101ed757f3ca860a,2013-04-18 00:00:00-04:00,7.833333333333333,6
101ed757f3ca860a,2013-04-19 00:00:00-04:00,10.5,4
101ed757f3ca860a,2013-04-20 00:00:00-04:00,10.0,1
101ed757f3ca860a,2013-04-21 00:00:00-04:00,9.75,4
101ed757f3ca860a,2013-04-22 00:00:00-04:00,9.6,5
101ed757f3ca860a,2013-04-23 00:00:00-04:00,6.166666666666667,6
101ed757f3ca860a,2013-04-24 00:00:00-04:00,7.0,3
101ed757f3ca860a,2013-04-25 00:00:00-04:00,8.25,4
101ed757f3ca860a,2013-04-26 00:00:00-04:00,6.6,5
101ed757f3ca860a,2013-04-27 00:00:00-04:00,6.6,5
101ed757f3ca860a,2013-04-28 00:00:00-04:00,9.5,6
101ed757f3ca860a,2013-04-29 00:00:00-04:00,6.0,3
101ed757f3ca860a,2013-04-30 00:00:00-04:00,10.5,6
101ed757f3ca860a,2013-05-01 00:00:00-04:00,10.571428571428571,7
101ed757f3ca860a,2013-05-02 00:00:00-04:00,8.5,4
101ed757f3ca860a,2013-05-03 00:00:00-04:00,7.0,3
101ed757f3ca860a,2013-05-04 00:00:00-04:00,7.0,4
101ed757f3ca860a,2013-05-05 00:00:00-04:00,7.0,3
101ed757f3ca860a,2013-05-06 00:00:00-04:00,12.0,1
101ed757f3ca860a,2013-05-08 00:00:00-04:00,10.0,1
101ed757f3ca860a,2013-05-09 00:00:00-04:00,4.0,1
101ed757f3ca860a,2013-05-10 00:00:00-04:00,6.0,1
101ed757f3ca860a,2013-05-11 00:00:00-04:00,10.0,2
101ed757f3ca860a,2013-05-15 00:00:00-04:00,5.5,2
101ed757f3ca860a,2013-05-16 00:00:00-04:00,7.4,5
101ed757f3ca860a,2013-05-17 00:00:00-04:00,3.6666666666666665,3
101ed757f3ca860a,2013-05-18 00:00:00-04:00,6.0,1
101ed757f3ca860a,2013-05-19 00:00:00-04:00,8.75,4
101ed757f3ca860a,2013-05-20 00:00:00-04:00,7.375,8
101ed757f3ca860a,2013-05-21 00:00:00-04:00,9.4,5
101ed757f3ca860a,2013-05-22 00:00:00-04:00,9.166666666666666,6
101ed757f3ca860a,2013-05-23 00:00:00-04:00,14.5,2
101ed757f3ca860a,2013-05-25 00:00:00-04:00,4.0,1
101ed757f3ca860a,2013-05-30 00:00:00-04:00,7.0,2
101ed757f3ca860a,2013-05-31 00:00:00-04:00,7.0,2
101ed757f3ca860a,2013-06-01 00:00:00-04:00,10.0,1
101ed757f3ca860a,2013-06-03 00:00:00-04:00,10.0,1
1d1e296a4fc02e87,2013-03-28 00:00:00-04:00,3.0,1
1d1e296a4fc02e87,2013-03-29 00:00:00-04:00,7.8,5
1d1e296a4fc02e87,2013-03-30 00:00:00-04:00,11.0,5
1d1e296a4fc02e87,2013-03-31 00:00:00-04:00,8.25,4
1d1e296a4fc02e87,2013-04-01 00:00:00-04:00,9.0,4
1d1e296a4fc02e87,2013-04-02 00:00:00-04:00,8.5,6
1d1e296a4fc02e87,2013-04-03 00:00:00-04:00,12.0,4
1d1e296a4fc02e87,2013-04-04 00:00:00-04:00,9.0,6
1d1e296a4fc02e87,2013-04-05 00:00:00-04:00,7.75,4
1d1e296a4fc02e87,2013-04-06 00:00:00-04:00,10.2,5
1d1e296a4fc02e87,2013-04-07 00:00:00-04:00,11.0,5
1d1e296a4fc02e87,2013-04-08 00:00:00-04:00,10.333333333333334,6
1d1e296a4fc02e87,2013-04-09 00:00:00-04:00,6.0,4
1d1e296a4fc02e87,2013-04-10 00:00:00-04:00,10.8,5
1d1e296a4fc02e87,2013-04-11 00:00:00-04:00,9.25,4
1d1e296a4fc02e87,2013-04-12 00:00:00-04:00,12.5,4
1d1e296a4fc02e87,2013-04-13 00:00:00-04:00,10.0,5
1d1e296a4fc02e87,2013-04-14 00:00:00-04:00,10.0,3
1d1e296a4fc02e87,2013-04-15 00:00:00-04:00,8.5,4
1d1e296a4fc02e87,2013-04-16 00:00:00-04:00,12.75,4
1d1e296a4fc02e87,2013-04-17 00:00:00-04:00,7.5,4
1d1e296a4fc02e87,2013-04-18 00:00:00-04:00,9.0,4
1d1e296a4fc02e87,2013-04-19 00:00:00-04:00,5.5,2
1d1e296a4fc02e87,2013-04-20 00:00:00-04:00,14.0,3
1d1e296a4fc02e87,2013-04-21 00:00:00-04:00,11.25,4
1d1e296a4fc02e87,2013-04-22 00:00:00-04:00,9.6,5
1d1e296a4fc02e87,2013-04-23 00:00:00-04:00,7.75,4
1d1e296a4fc02e87,2013-04-24 00:00:00-04:00,13.25,4
1d1e296a4fc02e87,2013-04-25 00:00:00-04:00,9.0,3
1d1e296a4fc02e87,2013-04-26 00:00:00-04:00,10.6,5
1d1e296a4fc02e87,2013-04-27 00:00:00-04:00,14.0,3
1d1e296a4fc02e87,2013-04-28 00:00:00-04:00,11.25,4
1d1e296a4fc02e87,2013-04-29 00:00:00-04:00,10.0,3
1d1e296a4fc02e87,2013-04-30 00:00:00-04:00,11.0,4
1d1e296a4fc02e87,2013-05-01 00:00:00-04:00,9.666666666666666,3
1d1e296a4fc02e87,2013-05-02 00:00:00-04:00,11.5,6
1d1e296a4fc02e87,2013-05-03 00:00:00-04:00,7.0,1
1d1e296a4fc02e87,2013-05-04 00:00:00-04:00,11.6,5
1d1e296a4fc02e87,2013-05-05 00:00:00-04:00,6.0,3
1d1e296a4fc02e87,2013-05-06 00:00:00-04:00,6.666666666666667,3
1d1e296a4fc02e87,2013-05-07 00:00:00-04:00,8.333333333333334,3
1d1e296a4fc02e87,2013-05-08 00:00:00-04:00,11.0,2
1d1e296a4fc02e87,2013-05-09 00:00:00-04:00,15.0,1
1d1e296a4fc02e87,2013-05-10 00:00:00-04:00,12.0,4
1d1e296a4fc02e87,2013-05-11 00:00:00-04:00,6.0,2
1d1e296a4fc02e87,2013-05-12 00:00:00-04:00,13.666666666666666,3
1d1e296a4fc02e87,2013-05-13 00:00:00-04:00,8.333333333333334,3
1d1e296a4fc02e87,2013-05-14 00:00:00-04:00,9.0,4
1d1e296a4fc02e87,2013-05-15 00:00:00-04:00,6.25,4
1d1e296a4fc02e87,2013-05-16 00:00:00-04:00,5.5,2
1d1e296a4fc02e87,2013-05-17 00:00:00-04:00,9.5,4
1d1e296a4fc02e87,2013-05-18 00:00:00-04:00,8.555555555555555,9
1d1e296a4fc02e87,2013-05-19 00:00:00-04:00,9.0,6
1d1e296a4fc02e87,2013-05-20 00:00:00-04:00,6.0,3
1d1e296a4fc02e87,2013-05-21 00:00:00-04:00,7.333333333333333,3
1d1e296a4fc02e87,2013-05-23 00:00:00-04:00,7.0,4
1d1e296a4fc02e87,2013-05-24 00:00:00-04:00,8.8,5
1d1e296a4fc02e87,2013-05-25 00:00:00-04:00,7.8,5
1d1e296a4fc02e87,2013-05-26 00:00:00-04:00,10.0,4
1d1e296a4fc02e87,2013-05-29 00:00:00-04:00,15.0,1
1d1e296a4fc02e87,2013-05-30 00:00:00-04:00,8.333333333333334,3
1d1e296a4fc02e87,2013-05-31 00:00:00-04:00,7.0,1
1d1e296a4fc02e87,2013-06-01 00:00:00-04:00,7.0,1
24a62f53b639939c,2013-03-27 00:00:00-04:00,4.75,4
24a62f53b639939c,2013-03-28 00:00:00-04:00,9.666666666666666,6
24a62f53b639939c,2013-03-29 00:00:00-04:00,9.857142857142858,7
24a62f53b639939c,2013-03-30 00:00:00-04:00,11.0,6
24a62f53b639939c,2013-03-31 00:00:00-04:00,5.4,5
24a62f53b639939c,2013-04-01 00:00:00-04:00,5.833333333333333,6
24a62f53b639939c,2013-04-02 00:00:00-04:00,7.0,3
24a62f53b639939c,2013-04-03 00:00:00-04:00,7.25,4
24a62f53b639939c,2013-04-04 00:00:00-04:00,10.8,5
24a62f53b639939c,2013-04-05 00:00:00-04:00,5.5,6
24a62f53b639939c,2013-04-06 00:00:00-04:00,4.5,2
24a62f53b639939c,2013-04-07 00:00:00-04:00,9.0,2
24a62f53b639939c,2013-04-08 00:00:00-04:00,8.25,4
24a62f53b639939c,2013-04-09 00:00:00-04:00,6.666666666666667,6
24a62f53b639939c,2013-04-10 00:00:00-04:00,6.0,1
24a62f53b639939c,2013-04-11 00:00:00-04:00,7.0,3
24a62f53b639939c,2013-04-12 00:00:00-04:00,7.8,10
24a62f53b639939c,2013-04-13 00:00:00-04:00,8.2,5
24a62f53b639939c,2013-04-14 00:00:00-04:00,7.75,4
24a62f53b639939c,2013-04-15 00:00:00-04:00,3.6666666666666665,3
24a62f53b639939c,2013-04-16 00:00:00-04:00,13.2,5
24a62f53b639939c,2013-04-17 00:00:00-04:00,5.25,4
24a62f53b639939c,2013-04-18 00:00:00-04:00,6.5,4
24a62f53b639939c,2013-04-19 00:00:00-04:00,8.375,8
24a62f53b639939c,2013-04-20 00:00:00-04:00,9.666666666666666,3
24a62f53b639939c,2013-04-21 00:00:00-04:00,7.0,3
24a62f53b639939c,2013-04-22 00:00:00-04:00,8.333333333333334,3
24a62f53b639939c,2013-04-23 00:00:00-04:00,12.666666666666666,3
24a62f53b639939c,2013-04-25 00:00:00-04:00,8.75,4
24a62f53b639939c,2013-04-26 00:00:00-04:00,7.0,1
24a62f53b639939c,2013-04-28 00:00:00-04:00,8.5,2
24a62f53b639939c,2013-04-29 00:00:00-04:00,3.0,2
24a62f53b639939c,2013-04-30 00:00:00-04:00,16.0,1
24a62f53b639939c,2013-05-13 00:00:00-04:00,7.0,3
24a62f53b639939c,2013-05-14 00:00:00-04:00,7.0,1
24a62f53b639939c,2013-05-15 00:00:00-04:00,8.0,2
24a62f53b639939c,2013-05-16 00:00:00-04:00,10.0,1
24a62f53b639939c,2013-05-17 00:00:00-04:00,7.8,5
24a62f53b639939c,2013-05-18 00:00:00-04:00,5.5,6
24a62f53b639939c,2013-05-19 00:00:00-04:00,14.0,1
24a62f53b639939c,2013-05-20 00:00:00-04:00,3.0,1
24a62f53b639939c,2013-05-22 00:00:00-04:00,7.0,1
24a62f53b639939c,2013-05-26 00:00:00-04:00,9.0,1
24a62f53b639939c,2013-05-28 00:00:00-04:00,6.0,1
26119daf181335b2,2013-03-26 00:00:00-04:00,6.333333333333333,3
26119daf181335b2,2013-03-27 00:00:00-04:00,8.7,10
26119daf181335b2,2013-03-28 00:00:00-04:00,11.833333333333334,6
26119daf181335b2,2013-03-29 00:00:00-04:00,10.2,5
26119daf181335b2,2013-03-30 00:00:00-04:00,12.5,4
26119daf181335b2,2013-03-31 00:00:00-04:00,7.666666666666667,3
26119daf181335b2,2013-04-01 00:00:00-04:00,6.0,2
26119daf181335b2,2013-04-02 00:00:00-04:00,13.5,2
26119daf181335b2,2013-04-03 00:00:00-04:00,11.5,4
26119daf181335b2,2013-04-04 00:00:00-04:00,12.333333333333334,3
26119daf181335b2,2013-04-05 00:00:00-04:00,11.6,5
26119daf181335b2,2013-04-06 00:00:00-04:00,9.6,5
26119daf181335b2,2013-04-07 00:00:00-04:00,14.5,2
26119daf181335b2,2013-04-08 00:00:00-04:00,7.25,4
26119daf181335b2,2013-04-09 00:00:00-04:00,11.25,4
26119daf181335b2,2013-04-10 00:00:00-04:00,7.8,5
26119daf181335b2,2013-04-11 00:00:00-04:00,9.0,2
26119daf181335b2,2013-04-12 00:00:00-04:00,7.5,4
26119daf181335b2,2013-04-13 00:00:00-04:00,10.5,2
26119daf181335b2,2013-04-14 00:00:00-04:00,10.666666666666666,3
26119daf181335b2,2013-04-15 00:00:00-04:00,5.0,1
26119daf181335b2,2013-04-16 00:00:00-04:00,10.666666666666666,3
26119daf181335b2,2013-04-17 00:00:00-04:00,8.0,4
26119daf181335b2,2013-04-18 00:00:00-04:00,11.4,5
26119daf181335b2,2013-04-19 00:00:00-04:00,14.5,2
26119daf181335b2,2013-04-20 00:00:00-04:00,15.0,1
26119daf181335b2,2013-04-21 00:00:00-04:00,3.0,1
26119daf181335b2,2013-04-22 00:00:00-04:00,9.5,2
26119daf181335b2,2013-04-23 00:00:00-04:00,10.0,5
26119daf181335b2,2013-04-24 00:00:00-04:00,11.25,4
26119daf181335b2,2013-04-25 00:00:00-04:00,10.333333333333334,3
26119daf181335b2,2013-04-26 00:00:00-04:00,9.666666666666666,6
26119daf181335b2,2013-04-27 00:00:00-04:00,12.0,1
26119daf181335b2,2013-04-28 00:00:00-04:00,8.5,4
26119daf181335b2,2013-04-29 00:00:00-04:00,10.0,1
26119daf181335b2,2013-04-30 00:00:00-04:00,11.0,3
26119daf181335b2,2013-05-01 00:00:00-04:00,9.0,2
26119daf181335b2,2013-05-04 00:00:00-04:00,13.0,2
26119daf181335b2,2013-05-07 00:00:00-04:00,11.0,1
26119daf181335b2,2013-05-08 00:00:00-04:00,6.0,1
26119daf181335b2,2013-05-09 00:00:00-04:00,14.0,1
26119daf181335b2,2013-05-13 00:00:00-04:00,9.0,1
