hashed_uid,date,sleep_hours,sleep_quality
02b34100f41b4332,2013-03-27 00:00:00-04:00,6,2
02b34100f41b4332,2013-03-28 00:00:00-04:00,7,2
02b34100f41b4332,2013-03-29 00:00:00-04:00,7,3
02b34100f41b4332,2013-03-30 00:00:00-04:00,7,2
02b34100f41b4332,2013-03-31 00:00:00-04:00,6,3
02b34100f41b4332,2013-04-01 00:00:00-04:00,7,3
02b34100f41b4332,2013-04-03 00:00:00-04:00,6,3
02b34100f41b4332,2013-04-09 00:00:00-04:00,6,2
02b34100f41b4332,2013-04-10 00:00:00-04:00,5,3
02b34100f41b4332,2013-04-11 00:00:00-04:00,4,2
02b34100f41b4332,2013-04-12 00:00:00-04:00,3,2
02b34100f41b4332,2013-04-13 00:00:00-04:00,8,1
02b34100f41b4332,2013-04-15 00:00:00-04:00,4,3
02b34100f41b4332,2013-04-16 00:00:00-04:00,5,3
02b34100f41b4332,2013-04-17 00:00:00-04:00,5,3
02b34100f41b4332,2013-04-18 00:00:00-04:00,5,4
02b34100f41b4332,2013-04-19 00:00:00-04:00,4,3
02b34100f41b4332,2013-04-20 00:00:00-04:00,8,3
02b34100f41b4332,2013-04-21 00:00:00-04:00,6,2
02b34100f41b4332,2013-04-26 00:00:00-04:00,4,2
02b34100f41b4332,2013-04-27 00:00:00-04:00,5,3
02b34100f41b4332,2013-04-29 00:00:00-04:00,4,2
02b34100f41b4332,2013-05-01 00:00:00-04:00,5,2
02b34100f41b4332,2013-05-03 00:00:00-04:00,5,3
02b34100f41b4332,2013-05-07 00:00:00-04:00,4,2
02b34100f41b4332,2013-05-08 00:00:00-04:00,1,3
02b34100f41b4332,2013-05-13 00:00:00-04:00,3,4
02b34100f41b4332,2013-05-14 00:00:00-04:00,1,3
02b34100f41b4332,2013-05-15 00:00:00-04:00,1,4
02b34100f41b4332,2013-05-17 00:00:00-04:00,9,2
02b34100f41b4332,2013-05-18 00:00:00-04:00,3,3
02b34100f41b4332,2013-05-20 00:00:00-04:00,2,4
02b34100f41b4332,2013-06-01 00:00:00-04:00,10,2
047dd3752ee95148,2013-03-27 00:00:00-04:00,2,4
047dd3752ee95148,2013-03-28 00:00:00-04:00,4,3
047dd3752ee95148,2013-03-29 00:00:00-04:00,5,2
047dd3752ee95148,2013-03-31 00:00:00-04:00,8,1
047dd3752ee95148,2013-04-01 00:00:00-04:00,8,1
047dd3752ee95148,2013-04-02 00:00:00-04:00,5,3
047dd3752ee95148,2013-04-03 00:00:00-04:00,8,1
047dd3752ee95148,2013-04-04 00:00:00-04:00,5,3
047dd3752ee95148,2013-04-10 00:00:00-04:00,6,3
04e98184146d8c31,2013-03-28 00:00:00-04:00,5,4
04e98184146d8c31,2013-03-29 00:00:00-04:00,5,3
04e98184146d8c31,2013-03-31 00:00:00-04:00,9,1
04e98184146d8c31,2013-04-01 00:00:00-04:00,4,3
04e98184146d8c31,2013-04-03 00:00:00-04:00,5,2
04e98184146d8c31,2013-04-04 00:00:00-04:00,7,2
04e98184146d8c31,2013-04-05 00:00:00-04:00,5,2
04e98184146d8c31,2013-04-08 00:00:00-04:00,3,3
04e98184146d8c31,2013-04-10 00:00:00-04:00,2,4
04e98184146d8c31,2013-04-17 00:00:00-04:00,3,4
04e98184146d8c31,2013-04-18 00:00:00-04:00,7,2
04e98184146d8c31,2013-04-19 00:00:00-04:00,6,2
04e98184146d8c31,2013-04-20 00:00:00-04:00,12,1
04e98184146d8c31,2013-04-29 00:00:00-04:00,0,4
04e98184146d8c31,2013-05-03 00:00:00-04:00,6,1
04e98184146d8c31,2013-05-22 00:00:00-04:00,3,4
24a62f53b639939c,2013-03-28 00:00:00-04:00,6,4
24a62f53b639939c,2013-03-29 00:00:00-04:00,7,3
24a62f53b639939c,2013-03-30 00:00:00-04:00,9,2
24a62f53b639939c,2013-04-01 00:00:00-04:00,8,2
24a62f53b639939c,2013-04-02 00:00:00-04:00,6,2
24a62f53b639939c,2013-04-03 00:00:00-04:00,9,1
24a62f53b639939c,2013-04-04 00:00:00-04:00,6,3
24a62f53b639939c,2013-04-05 00:00:00-04:00,9,1
24a62f53b639939c,2013-04-06 00:00:00-04:00,10,2
24a62f53b639939c,2013-04-08 00:00:00-04:00,7,3
24a62f53b639939c,2013-04-09 00:00:00-04:00,9,3
24a62f53b639939c,2013-04-12 00:00:00-04:00,6,2
24a62f53b639939c,2013-04-13 00:00:00-04:00,9,3
24a62f53b639939c,2013-04-14 00:00:00-04:00,9,2
24a62f53b639939c,2013-04-17 00:00:00-04:00,7,2
24a62f53b639939c,2013-05-13 00:00:00-04:00,9,2
24a62f53b639939c,2013-05-26 00:00:00-04:00,5,4
26119daf181335b2,2013-03-27 00:00:00-04:00,7,2
26119daf181335b2,2013-03-28 00:00:00-04:00,10,1
26119daf181335b2,2013-03-29 00:00:00-04:00,7,1
26119daf181335b2,2013-03-30 00:00:00-04:00,8,1
26119daf181335b2,2013-03-31 00:00:00-04:00,8,1
26119daf181335b2,2013-04-01 00:00:00-04:00,7,2
26119daf181335b2,2013-04-02 00:00:00-04:00,8,2
26119daf181335b2,2013-04-03 00:00:00-04:00,6,2
26119daf181335b2,2013-04-04 00:00:00-04:00,8,2
26119daf181335b2,2013-04-05 00:00:00-04:00,7,3
26119daf181335b2,2013-04-06 00:00:00-04:00,8,1
26119daf181335b2,2013-04-07 00:00:00-04:00,9,1
26119daf181335b2,2013-04-08 00:00:00-04:00,6,2
26119daf181335b2,2013-04-09 00:00:00-04:00,8,1
26119daf181335b2,2013-04-10 00:00:00-04:00,5,2
26119daf181335b2,2013-04-11 00:00:00-04:00,6,2
26119daf181335b2,2013-04-12 00:00:00-04:00,5,2
26119daf181335b2,2013-04-13 00:00:00-04:00,9,1
26119daf181335b2,2013-04-14 00:00:00-04:00,8,1
26119daf181335b2,2013-04-16 00:00:00-04:00,7,1
26119daf181335b2,2013-04-17 00:00:00-04:00,5,2
26119daf181335b2,2013-04-18 00:00:00-04:00,8,1
26119daf181335b2,2013-04-19 00:00:00-04:00,7,2
26119daf181335b2,2013-04-21 00:00:00-04:00,7,2
26119daf181335b2,2013-04-22 00:00:00-04:00,7,2
26119daf181335b2,2013-04-23 00:00:00-04:00,7,1
2c1946301ae0a12c,2013-04-02 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-03 00:00:00-04:00,7,1
2c1946301ae0a12c,2013-04-04 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-05 00:00:00-04:00,6,1
2c1946301ae0a12c,2013-04-06 00:00:00-04:00,6,1
2c1946301ae0a12c,2013-04-07 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-08 00:00:00-04:00,7,2
2c1946301ae0a12c,2013-04-09 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-10 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-11 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-12 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-13 00:00:00-04:00,8,2
2c1946301ae0a12c,2013-04-15 00:00:00-04:00,7,2
2c1946301ae0a12c,2013-04-17 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-18 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-19 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-20 00:00:00-04:00,7,1
2c1946301ae0a12c,2013-04-21 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-22 00:00:00-04:00,8,2
2c1946301ae0a12c,2013-04-23 00:00:00-04:00,7,1
2c1946301ae0a12c,2013-04-24 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-25 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-26 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-27 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-04-28 00:00:00-04:00,7,2
2c1946301ae0a12c,2013-04-29 00:00:00-04:00,8,2
2c1946301ae0a12c,2013-04-30 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-05-01 00:00:00-04:00,10,1
2c1946301ae0a12c,2013-05-02 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-05-03 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-05-04 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-05-05 00:00:00-04:00,7,1
2c1946301ae0a12c,2013-05-06 00:00:00-04:00,8,1
2c1946301ae0a12c,2013-05-07 00:00:00-04:00,6,2
2c1946301ae0a12c,2013-05-08 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-09 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-10 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-12 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-13 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-14 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-15 00:00:00-04:00,10,1
2c1946301ae0a12c,2013-05-16 00:00:00-04:00,17,1
2c1946301ae0a12c,2013-05-17 00:00:00-04:00,13,1
2c1946301ae0a12c,2013-05-18 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-19 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-20 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-22 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-23 00:00:00-04:00,12,1
2c1946301ae0a12c,2013-05-24 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-25 00:00:00-04:00,11,1
2c1946301ae0a12c,2013-05-27 00:00:00-04:00,10,1
