date,temp_c,precip_mm
2013-03-25,-1.5,0.0
2013-03-26,0.3,0.2
2013-03-27,0.9,0.3
2013-03-28,3.5,1.0
2013-03-29,3.4,1.6
2013-03-30,3.0,0.0
2013-03-31,5.3,0.1
2013-04-01,2.8,6.2
2013-04-02,-1.8,0.0
2013-04-03,-0.9,0.0
2013-04-04,2.4,0.0
2013-04-05,3.4,0.0
2013-04-06,-0.7,0.0
2013-04-07,3.0,0.0
2013-04-08,7.5,0.0
2013-04-09,7.0,7.0
2013-04-10,6.8,12.4
2013-04-11,3.4,3.6
2013-04-12,-0.6,15.2
2013-04-13,3.7,0.8
2013-04-14,4.4,0.4
2013-04-15,6.3,0.0
2013-04-16,9.4,3.9
2013-04-17,8.6,0.0
2013-04-18,8.1,0.0
2013-04-19,14.4,3.8
2013-04-20,7.5,15.4
2013-04-21,3.0,0.0
2013-04-22,3.9,0.0
2013-04-23,2.8,0.0
2013-04-24,11.3,0.0
2013-04-25,9.2,2.2
2013-04-26,7.2,1.0
2013-04-27,8.9,0.0
2013-04-28,11.7,0.0
2013-04-29,11.8,0.0
2013-04-30,13.5,0.0
2013-05-01,14.4,0.0
2013-05-02,14.9,0.0
2013-05-03,11.4,0.0
2013-05-04,14.0,0.0
2013-05-05,12.6,0.0
2013-05-06,14.3,0.0
2013-05-07,17.4,0.0
2013-05-08,16.5,3.9
2013-05-09,15.6,4.8
2013-05-10,16.2,0.5
2013-05-11,15.6,8.9
2013-05-12,12.4,0.0
2013-05-13,7.1,0.3
2013-05-14,7.8,0.0
2013-05-15,9.9,2.8
2013-05-16,14.9,0.0
2013-05-17,12.1,0.0
2013-05-18,14.1,0.0
2013-05-19,13.4,2.5
2013-05-20,16.7,1.3
2013-05-21,16.8,7.3
2013-05-22,15.1,4.3
2013-05-23,18.8,0.9
2013-05-24,11.4,16.7
2013-05-25,4.2,26.9
2013-05-26,5.8,6.5
2013-05-27,10.5,0.0
2013-05-28,14.2,0.0
2013-05-29,13.2,11.3
2013-05-30,20.5,0.2
2013-05-31,22.8,0.0
2013-06-01,24.0,0.0
2013-06-02,23.0,4.3
2013-06-03,19.0,0.0
