date,gdelt_mood,gdelt_avg_tone,gdelt_avg_goldstein,gdelt_total_mentions,gdelt_total_sources,gdelt_salient_events,gdelt_dominant_event,trends_avg,trends_zscore,trends_mood,compound_mood,mood_label
2013-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,32.2,0.47403111325867553,-15.8,-9.5,Neutral
2013-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,32.8,0.47403111325867553,-15.8,-9.5,Neutral
2013-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,34.6,0.6654156374902133,-22.2,-13.3,Mildly negative
2013-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,30.6,1.2395692101848335,-41.3,-24.8,Mildly negative
2013-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,-0.03632761802543057,1.2,0.7,Neutral
2013-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,24.8,-1.5036089704672349,50.1,30.1,Mildly positive
2013-03-31,0.0,0.0,0.0,0.0,0.0,0.0,,26.2,-1.8863780189303136,62.9,37.7,Mildly positive
2013-04-01,-63.8,2.0007783691273593,-0.8353413654618473,13643.0,2030.0,249.0,Colorado -> Unknown (Fight),31.2,-1.4398141290567217,48.0,3.3,Neutral
2013-04-02,1.8,2.522967088917889,-0.25101214574898784,14156.0,1832.0,247.0,United States -> Unknown (Appeal),32.0,0.15505690620610835,-5.2,-2.4,Neutral
2013-04-03,25.6,2.109834281257092,0.37465753424657533,14894.0,2094.0,292.0,Massachusetts -> Unknown (Make statement),32.0,0.4102362718481614,-13.7,2.0,Neutral
2013-04-04,-6.4,2.223029874556255,-0.17900874635568514,20884.0,2670.0,343.0,United States -> Unknown (Make statement),33.6,0.4102362718481614,-13.7,-10.8,Mildly negative
2013-04-05,9.7,2.095579190766861,0.02374999999999999,16992.0,2329.0,320.0,Obama -> Unknown (Appeal),32.6,0.9205950031322675,-30.7,-14.5,Mildly negative
2013-04-06,15.8,2.0705779801653867,0.21273885350318467,8877.0,1168.0,157.0,Obama -> Unknown (Appeal),27.2,0.6016207960797014,-20.1,-5.7,Neutral
2013-04-07,16.1,2.2349993479260752,0.0057894736842105015,10566.0,1518.0,190.0,Obama -> Unknown (Appeal),31.4,-1.1208399220041558,37.4,28.9,Mildly positive
2013-04-08,53.6,2.12555341131914,1.1623318385650223,11853.0,1624.0,223.0,Airline -> Carrier (Reject),35.2,0.21885174761662135,-7.3,17.1,Mildly positive
2013-04-09,10.3,2.1242947802577263,0.39850187265917597,15562.0,2144.0,267.0,Google -> United States (Investigate),34.0,1.4309537344163736,-47.7,-24.5,Mildly negative
2013-04-10,-6.8,2.0830172121141954,-0.19497041420118344,18962.0,2457.0,338.0,New York -> Unknown (Make statement),36.2,1.0481846859532935,-34.9,-23.7,Mildly negative
